Ticker,Name,OtherName,Sector,Industry,Sub-Industry
7LX.F,Galaxy Digital Holdings,Galaxy Digital Holdings,Financial Services,Capital Markets,
8Z3.F,tinyBuild,tinyBuild,Communication Services,Electronic Gaming & Multimedia,
A,Agilent Technologies,Agilent Technologies,Healthcare,Diagnostics & Research,
AA,Alcoa,Alcoa,Basic Materials,Aluminum,
AADI,Aadi Bioscience,Aadi Bioscience,Healthcare,Biotechnology,
AAL,American Airlines Group,American Airlines,Industrials,Airlines,
AAN,The Aaron's Company,Aaron's,Industrials,Rental & Leasing Services,
AAOI,Applied Optoelectronics,Applied Optoelectronics,Technology,Communication Equipment,
AAON,AAON,Aaon,Industrials,Building Products & Equipment,
AAP,Advance Auto Parts,Advance Auto Parts,Consumer Cyclical,Specialty Retail,
AAPL,Apple,Apple,Technology,Consumer Electronics,
AAT,American Assets Trust,American Assets Trust,Real Estate,REIT,Diversified
AAWH,Ascend Wellness Holdings,Ascend Wellness (AWH),Healthcare,Drug Manufacturers,Specialty & Generic
AB,AllianceBernstein Holding L.P.,AllianceBernstein,Financial Services,Asset Management,
ABAT,American Battery Technology Company,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,
ABBV,AbbVie,AbbVie,Healthcare,Drug Manufacturers,General
ABCB,Ameris Bancorp,Ameris Bancorp,Financial Services,Banks,Regional
ABEO,Abeona Therapeutics,Abeona Therapeutics,Healthcare,Biotechnology,
ABG,Asbury Automotive Group,Asbury Automotive Group,Consumer Cyclical,Auto & Truck Dealerships,
ABL,Abacus Life,Abacus Life,Financial Services,Insurance,Life
ABM,ABM Industries Incorporated,ABM Industries,Industrials,Specialty Business Services,
ABNB,Airbnb,Airbnb,Consumer Cyclical,Travel Services,
ABOS,Acumen Pharmaceuticals,Acumen Pharmaceuticals,Healthcare,Biotechnology,
ABR,Arbor Realty Trust,Arbor Realty Trust,Real Estate,REIT,Mortgage
ABSI,Absci,Absci,Healthcare,Biotechnology,
ABT,Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices,
ABUS,Arbutus Biopharma,Arbutus Biopharma,Healthcare,Biotechnology,
AC,Associated Capital Group,Associated Capital Group,Financial Services,Asset Management,
ACA,Arcosa,Arcosa,Industrials,Engineering & Construction,
ACAD,ACADIA Pharmaceuticals,ACADIA Pharmaceuticals,Healthcare,Biotechnology,
ACCD,Accolade,Accolade,Healthcare,Health Information Services,
ACCO,ACCO Brands,Acco Brands,Industrials,Business Equipment & Supplies,
ACDC,ProFrac Holding,ProFrac,Energy,Oil & Gas Equipment & Services,
ACEL,Accel Entertainment,Accel Entertainment,Consumer Cyclical,Gambling,
ACET,Adicet Bio,Adicet Bio,Healthcare,Biotechnology,
ACHC,Acadia Healthcare Company,Acadia Healthcare,Healthcare,Medical Care Facilities,
ACHR,Archer Aviation,Archer Aviation,Industrials,Aerospace & Defense,
ACI,Albertsons Companies,Albertsons,Consumer Defensive,Grocery Stores,
ACIC,American Coastal Insurance,American Coastal Insurance Corporation,Financial Services,Insurance,Property & Casualty
ACIW,ACI Worldwide,ACI Worldwide,Technology,Software,Infrastructure
ACLS,Axcelis Technologies,Axcelis Technologies,Technology,Semiconductor Equipment & Materials,
ACLX,Arcellx,Arcellx,Healthcare,Biotechnology,
ACM,AECOM,AECOM,Industrials,Engineering & Construction,
ACMR,ACM Research,ACM Research,Technology,Semiconductor Equipment & Materials,
ACNB,ACNB,ACNB Corporation,Financial Services,Banks,Regional
ACR,ACRES Commercial Realty,ACRES Commercial Realty,Real Estate,REIT,Mortgage
ACRE,Ares Commercial Real Estate,Ares Commercial Real Estate,Real Estate,REIT,Mortgage
ACRS,Aclaris Therapeutics,Aclaris Therapeutics,Healthcare,Diagnostics & Research,
ACRV,Acrivon Therapeutics,Acrivon Therapeutics,Healthcare,Biotechnology,
ACT,Enact Holdings,Enact Holdings,Financial Services,Insurance,Specialty
ACTG,Acacia Research,Acacia Research,Industrials,Business Equipment & Supplies,
ACU,Acme United,Acme United,Consumer Defensive,Household & Personal Products,
ACVA,ACV Auctions,ACV Auctions,Consumer Cyclical,Auto & Truck Dealerships,
ADBE,Adobe,Adobe,Technology,Software,Infrastructure
ADC,Agree Realty,Agree Realty,Real Estate,REIT,Retail
ADEA,Adeia,Adeia,Technology,Software,Application
ADI,Analog Devices,Analog Devices,Technology,Semiconductors,
ADIL,Adial Pharmaceuticals,Adial Pharmaceuticals,Healthcare,Biotechnology,
ADM,Archer-Daniels-Midland Company,Archer Daniels Midland (ADM),Consumer Defensive,Farm Products,
ADMA,ADMA Biologics,ADMA Biologics,Healthcare,Biotechnology,
ADN,Advent Technologies Holdings,Advent Technologies,Utilities,Utilities,Renewable
ADP,Automatic Data Processing,Automatic Data Processing,Industrials,Staffing & Employment Services,
ADPT,Adaptive Biotechnologies,Adaptive Biotechnologies,Healthcare,Biotechnology,
ADSK,Autodesk,Autodesk,Technology,Software,Application
ADT,ADT,ADT,Industrials,Security & Protection Services,
ADTH,AdTheorent Holding Company,AdTheorent,Communication Services,Advertising Agencies,
ADTN,ADTRAN Holdings,ADTRAN,Technology,Communication Equipment,
ADUS,Addus HomeCare,Addus HomeCare,Healthcare,Medical Care Facilities,
ADV,Advantage Solutions,Advantage Solutions,Communication Services,Advertising Agencies,
ADVM,Adverum Biotechnologies,Adverum Biotechnologies,Healthcare,Biotechnology,
ADXS,Ayala Pharmaceuticals,Advaxis,Healthcare,Biotechnology,
AEE,Ameren,Ameren,Utilities,Utilities,Regulated Electric
