Ticker,Name,OtherName,Sector,Industry,Sub-Industry
7LX.F,Galaxy Digital Holdings Ltd.,Galaxy Digital Holdings,Financial Services,Capital Markets,
8Z3.F,"tinyBuild, Inc.",tinyBuild,Communication Services,Electronic Gaming & Multimedia,
A,"Agilent Technologies, Inc.",Agilent Technologies,Healthcare,Diagnostics & Research,
AA,Alcoa Corporation,Alcoa,Basic Materials,Aluminum,
AADI,"Aadi Bioscience, Inc.",Aadi Bioscience,Healthcare,Biotechnology,
AAL,American Airlines Group Inc.,American Airlines,Industrials,Airlines,
AAN,"The Aaron's Company, Inc.",Aaron's,Industrials,Rental & Leasing Services,
AAOI,"Applied Optoelectronics, Inc.",Applied Optoelectronics,Technology,Communication Equipment,
AAON,"AAON, Inc.",Aaon,Industrials,Building Products & Equipment,
AAP,"Advance Auto Parts, Inc.",Advance Auto Parts,Consumer Cyclical,Specialty Retail,
AAPL,Apple Inc.,Apple,Technology,Consumer Electronics,
AAT,"American Assets Trust, Inc.",American Assets Trust,Real Estate,REIT - Diversified,
AAWH,"Ascend Wellness Holdings, Inc.",Ascend Wellness (AWH),Healthcare,Drug Manufacturers—Specialty & Generic,
AB,AllianceBernstein Holding L.P.,AllianceBernstein,Financial Services,Asset Management,
ABAT,American Battery Technology Company,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,
ABBV,AbbVie Inc.,AbbVie,Healthcare,Drug Manufacturers - General,
ABCB,Ameris Bancorp,Ameris Bancorp,Financial Services,Banks - Regional,
ABEO,Abeona Therapeutics Inc.,Abeona Therapeutics,Healthcare,Biotechnology,
ABG,"Asbury Automotive Group, Inc.",Asbury Automotive Group,Consumer Cyclical,Auto & Truck Dealerships,
ABL,"Abacus Life, Inc.",Abacus Life,Financial Services,Insurance - Life,
ABM,ABM Industries Incorporated,ABM Industries,Industrials,Specialty Business Services,
ABNB,"Airbnb, Inc.",Airbnb,Consumer Cyclical,Travel Services,
ABOS,"Acumen Pharmaceuticals, Inc.",Acumen Pharmaceuticals,Healthcare,Biotechnology,
ABR,"Arbor Realty Trust, Inc.",Arbor Realty Trust,Real Estate,REIT - Mortgage,
ABSI,Absci Corporation,Absci,Healthcare,Biotechnology,
ABT,Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices,
ABUS,Arbutus Biopharma Corporation,Arbutus Biopharma,Healthcare,Biotechnology,
AC,"Associated Capital Group, Inc.",Associated Capital Group,Financial Services,Asset Management,
ACA,"Arcosa, Inc.",Arcosa,Industrials,Engineering & Construction,
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals,Healthcare,Biotechnology,
ACCD,"Accolade, Inc.",Accolade,Healthcare,Health Information Services,
ACCO,ACCO Brands Corporation,Acco Brands,Industrials,Business Equipment & Supplies,
ACDC,ProFrac Holding Corp.,ProFrac,Energy,Oil & Gas Equipment & Services,
ACEL,"Accel Entertainment, Inc.",Accel Entertainment,Consumer Cyclical,Gambling,
ACET,"Adicet Bio, Inc.",Adicet Bio,Healthcare,Biotechnology,
ACHC,"Acadia Healthcare Company, Inc.",Acadia Healthcare,Healthcare,Medical Care Facilities,
ACHR,Archer Aviation Inc.,Archer Aviation,Industrials,Aerospace & Defense,
ACI,"Albertsons Companies, Inc.",Albertsons,Consumer Defensive,Grocery Stores,
ACIC,American Coastal Insurance Corporation,American Coastal Insurance Corporation,Financial Services,Insurance - Property & Casualty,
ACIW,"ACI Worldwide, Inc.",ACI Worldwide,Technology,Software - Infrastructure,
ACLS,"Axcelis Technologies, Inc.",Axcelis Technologies,Technology,Semiconductor Equipment & Materials,
ACLX,"Arcellx, Inc.",Arcellx,Healthcare,Biotechnology,
ACM,AECOM,AECOM,Industrials,Engineering & Construction,
ACMR,"ACM Research, Inc.",ACM Research,Technology,Semiconductor Equipment & Materials,
ACNB,ACNB Corporation,ACNB Corporation,Financial Services,Banks—Regional,
ACR,ACRES Commercial Realty Corp.,ACRES Commercial Realty,Real Estate,REIT—Mortgage,
ACRE,Ares Commercial Real Estate Corporation,Ares Commercial Real Estate,Real Estate,REIT—Mortgage,
ACRS,"Aclaris Therapeutics, Inc.",Aclaris Therapeutics,Healthcare,Diagnostics & Research,
ACRV,"Acrivon Therapeutics, Inc.",Acrivon Therapeutics,Healthcare,Biotechnology,
ACT,"Enact Holdings, Inc.",Enact Holdings,Financial Services,Insurance - Specialty,
ACTG,Acacia Research Corporation,Acacia Research,Industrials,Business Equipment & Supplies,
ACU,Acme United Corporation,Acme United,Consumer Defensive,Household & Personal Products,
ACVA,ACV Auctions Inc.,ACV Auctions,Consumer Cyclical,Auto & Truck Dealerships,
ADBE,Adobe Inc.,Adobe,Technology,Software - Infrastructure,
ADC,Agree Realty Corporation,Agree Realty,Real Estate,REIT - Retail,
ADEA,Adeia Inc.,Adeia,Technology,Software - Application,
ADI,"Analog Devices, Inc.",Analog Devices,Technology,Semiconductors,
ADIL,"Adial Pharmaceuticals, Inc.",Adial Pharmaceuticals,Healthcare,Biotechnology,
ADM,Archer-Daniels-Midland Company,Archer Daniels Midland (ADM),Consumer Defensive,Farm Products,
ADMA,"ADMA Biologics, Inc.",ADMA Biologics,Healthcare,Biotechnology,
ADN,"Advent Technologies Holdings, Inc.",Advent Technologies,Utilities,Utilities—Renewable,
ADP,"Automatic Data Processing, Inc.",Automatic Data Processing,Industrials,Staffing & Employment Services,
ADPT,Adaptive Biotechnologies Corporation,Adaptive Biotechnologies,Healthcare,Biotechnology,
ADSK,"Autodesk, Inc.",Autodesk,Technology,Software - Application,
ADT,ADT Inc.,ADT,Industrials,Security & Protection Services,
ADTH,"AdTheorent Holding Company, Inc.",AdTheorent,Communication Services,Advertising Agencies,
ADTN,"ADTRAN Holdings, Inc.",ADTRAN,Technology,Communication Equipment,
ADUS,Addus HomeCare Corporation,Addus HomeCare,Healthcare,Medical Care Facilities,
ADV,Advantage Solutions Inc.,Advantage Solutions,Communication Services,Advertising Agencies,
ADVM,"Adverum Biotechnologies, Inc.",Adverum Biotechnologies,Healthcare,Biotechnology,
ADXS,"Ayala Pharmaceuticals, Inc.",Advaxis,Healthcare,Biotechnology,
AEE,Ameren Corporation,Ameren,Utilities,Utilities - Regulated Electric,
AEHR,Aehr Test Systems,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,
AEIS,"Advanced Energy Industries, Inc.",Advanced Energy,Industrials,Electrical Equipment & Parts,
AEL,,American Equity Investment Life Holding,,,
AEMD,"Aethlon Medical, Inc.",Aethlon Medical,Healthcare,Medical Devices,
AENT,Alliance Entertainment Holding Corporation,Alliance Entertainment,Communication Services,Entertainment,
AEO,"American Eagle Outfitters, Inc.",American Eagle Outfitters,Consumer Cyclical,Apparel Retail,
AEON,"AEON Biopharma, Inc.",AEON Biopharma,Healthcare,Biotechnology,
AEP,"American Electric Power Company, Inc.",American Electric Power,Utilities,Utilities - Regulated Electric,
