Ticker,Name,OtherName,Sector,Industry
MSFT,Microsoft Corporation,Microsoft,Technology,Software - Infrastructure
AAPL,Apple Inc.,Apple,Technology,Consumer Electronics
NVDA,NVIDIA Corporation,NVIDIA,Technology,Semiconductors
GOOG,Alphabet Inc.,Alphabet (Google),Communication Services,Internet Content & Information
AMZN,"Amazon.com, Inc.",Amazon,Consumer Cyclical,Internet Retail
META,"Meta Platforms, Inc.",Meta Platforms (Facebook),Communication Services,Internet Content & Information
BRK-B,Berkshire Hathaway Inc.,Berkshire Hathaway,Financial Services,Insurance - Diversified
LLY,Eli Lilly and Company,Eli Lilly,Healthcare,Drug Manufacturers - General
TSLA,"Tesla, Inc.",Tesla,Consumer Cyclical,Auto Manufacturers
AVGO,Broadcom Inc.,Broadcom,Technology,Semiconductors
JPM,JPMorgan Chase & Co.,JPMorgan Chase,Financial Services,Banks - Diversified
WMT,Walmart Inc.,Walmart,Consumer Defensive,Discount Stores
V,Visa Inc.,Visa,Financial Services,Credit Services
XOM,Exxon Mobil Corporation,Exxon Mobil,Energy,Oil & Gas Integrated
UNH,UnitedHealth Group Incorporated,UnitedHealth,Healthcare,Healthcare Plans
MA,Mastercard Incorporated,Mastercard,Financial Services,Credit Services
ORCL,Oracle Corporation,Oracle,Technology,Software - Infrastructure
COST,Costco Wholesale Corporation,Costco,Consumer Defensive,Discount Stores
PG,The Procter & Gamble Company,Procter & Gamble,Consumer Defensive,Household & Personal Products
JNJ,Johnson & Johnson,Johnson & Johnson,Healthcare,Drug Manufacturers - General
HD,"The Home Depot, Inc.",Home Depot,Consumer Cyclical,Home Improvement Retail
MRK,"Merck & Co., Inc.",Merck,Healthcare,Drug Manufacturers - General
BAC,Bank of America Corporation,Bank of America,Financial Services,Banks - Diversified
NFLX,"Netflix, Inc.",Netflix,Communication Services,Entertainment
ABBV,AbbVie Inc.,AbbVie,Healthcare,Drug Manufacturers - General
CVX,Chevron Corporation,Chevron,Energy,Oil & Gas Integrated
AMD,"Advanced Micro Devices, Inc.",AMD,Technology,Semiconductors
KO,The Coca-Cola Company,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic
ADBE,Adobe Inc.,Adobe,Technology,Software - Infrastructure
CRM,"Salesforce, Inc.",Salesforce,Technology,Software - Application
QCOM,QUALCOMM Incorporated,QUALCOMM,Technology,Semiconductors
PEP,"PepsiCo, Inc.",Pepsico,Consumer Defensive,Beverages - Non-Alcoholic
TMUS,"T-Mobile US, Inc.",T-Mobile US,Communication Services,Telecom Services
WFC,Wells Fargo & Company,Wells Fargo,Financial Services,Banks - Diversified
TMO,Thermo Fisher Scientific Inc.,Thermo Fisher Scientific,Healthcare,Diagnostics & Research
AMAT,"Applied Materials, Inc.",Applied Materials,Technology,Semiconductor Equipment & Materials
CSCO,"Cisco Systems, Inc.",Cisco,Technology,Communication Equipment
INTU,Intuit Inc.,Intuit,Technology,Software - Application
TXN,Texas Instruments Incorporated,Texas Instruments,Technology,Semiconductors
ABT,Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices
MCD,McDonald's Corporation,McDonald,Consumer Cyclical,Restaurants
DIS,The Walt Disney Company,Walt Disney,Communication Services,Entertainment
DHR,Danaher Corporation,Danaher,Healthcare,Diagnostics & Research
GE,GE Aerospace,General Electric,Industrials,Aerospace & Defense
VZ,Verizon Communications Inc.,Verizon,Communication Services,Telecom Services
AXP,American Express Company,American Express,Financial Services,Credit Services
AMGN,Amgen Inc.,Amgen,Healthcare,Drug Manufacturers - General
NOW,"ServiceNow, Inc.",ServiceNow,Technology,Software - Application
MS,Morgan Stanley,Morgan Stanley,Financial Services,Capital Markets
IBM,International Business Machines Corporation,IBM,Technology,Information Technology Services
CAT,Caterpillar Inc.,Caterpillar,Industrials,Farm & Heavy Construction Machinery
PFE,Pfizer Inc.,Pfizer,Healthcare,Drug Manufacturers - General
PM,Philip Morris International Inc.,Philip Morris,Consumer Defensive,Tobacco
ISRG,"Intuitive Surgical, Inc.",Intuitive Surgical,Healthcare,Medical Instruments & Supplies
GS,"The Goldman Sachs Group, Inc.",Goldman Sachs,Financial Services,Capital Markets
CMCSA,Comcast Corporation,Comcast,Communication Services,Telecom Services
UBER,"Uber Technologies, Inc.",Uber,Technology,Software - Application
NEE,"NextEra Energy, Inc.",Nextera Energy,Utilities,Utilities - Regulated Electric
MU,"Micron Technology, Inc.",Micron Technology,Technology,Semiconductors
LRCX,Lam Research Corporation,Lam Research,Technology,Semiconductor Equipment & Materials
SPGI,S&P Global Inc.,S&P Global,Financial Services,Financial Data & Stock Exchanges
HON,Honeywell International Inc.,Honeywell,Industrials,Conglomerates
UNP,Union Pacific Corporation,Union Pacific Corporation,Industrials,Railroads
INTC,Intel Corporation,Intel,Technology,Semiconductors
T,AT&T Inc.,AT&T,Communication Services,Telecom Services
SCHW,The Charles Schwab Corporation,Charles Schwab,Financial Services,Capital Markets
RTX,RTX Corporation,Raytheon Technologies,Industrials,Aerospace & Defense
BKNG,Booking Holdings Inc.,Booking Holdings (Booking.com),Consumer Cyclical,Travel Services
COP,ConocoPhillips,ConocoPhillips,Energy,Oil & Gas E&P
SYK,Stryker Corporation,Stryker Corporation,Healthcare,Medical Devices
TJX,"The TJX Companies, Inc.",TJX Companies,Consumer Cyclical,Apparel Retail
ELV,"Elevance Health, Inc.",Elevance Health,Healthcare,Healthcare Plans
PGR,The Progressive Corporation,Progressive,Financial Services,Insurance - Property & Casualty
VRTX,Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals,Healthcare,Biotechnology
C,Citigroup Inc.,Citigroup,Financial Services,Banks - Diversified
LOW,"Lowe's Companies, Inc.",Lowe's Companies,Consumer Cyclical,Home Improvement Retail
BLK,"BlackRock, Inc.",BlackRock,Financial Services,Asset Management
UPS,"United Parcel Service, Inc.",United Parcel Service,Industrials,Integrated Freight & Logistics
